Date,Temperature,Humidity,Pressure,Wind_Speed,Rainfall,CO2_Level,Visibility,Cloud_Cover
2019-01-01,16.71,58.96,1016.24,27.18,0.08,410.28,9.02,35.48
2019-01-02,13.68,54.97,1008.38,0.0,0.17,410.95,4.97,57.86
2019-01-03,12.58,46.91,1020.33,13.19,0.11,412.56,7.79,53.06
2019-01-04,13.8,55.37,1017.74,17.33,0.29,409.36,6.97,23.56
2019-01-05,17.86,49.51,1014.04,0.0,0.4,410.22,8.76,24.77
2019-01-06,10.69,69.8,1010.31,4.23,0.39,409.12,7.65,40.37
2019-01-07,13.46,68.52,1018.15,22.45,0.74,409.79,5.75,12.3
2019-01-08,18.84,60.97,1010.95,24.44,0.51,409.1,6.86,75.09
2019-01-09,16.69,56.63,1014.81,27.3,0.74,413.37,5.16,40.03
2019-01-10,15.48,49.24,1018.21,22.23,0.14,410.02,9.96,37.04
2019-01-11,13.3,58.75,1017.58,17.63,0.81,411.37,7.35,42.27
2019-01-12,17.81,61.54,1011.16,25.19,0.99,409.71,7.01,44.14
2019-01-13,11.61,60.23,1011.29,8.58,1.43,410.21,2.96,26.42
2019-01-14,20.14,64.59,1004.63,6.42,0.02,409.01,7.12,100.0
2019-01-15,15.43,68.12,1012.83,5.65,2.12,410.77,4.7,30.62
2019-01-16,18.4,57.42,1019.92,26.24,0.38,411.39,5.02,35.84
2019-01-17,16.46,60.73,1005.25,15.55,0.52,410.54,5.17,65.51
2019-01-18,15.76,62.22,1008.57,12.15,0.54,410.56,7.45,82.68
2019-01-19,11.5,68.27,1014.3,21.25,0.21,411.3,5.27,65.44
2019-01-20,20.06,69.01,1017.24,16.4,0.59,408.78,4.62,66.41
2019-01-21,13.58,74.94,1018.79,8.43,0.52,410.42,8.88,28.31
2019-01-22,17.03,53.7,1009.14,22.03,0.5,409.76,7.03,86.34
2019-01-23,15.89,94.91,1016.13,8.14,0.16,410.04,6.73,46.9
2019-01-24,19.01,63.51,1016.89,23.36,0.19,409.66,7.43,18.86
2019-01-25,17.4,72.2,1008.58,16.23,0.48,411.06,7.1,71.81
2019-01-26,20.18,59.07,1019.91,22.24,0.83,409.4,8.03,100.0
